Código IES;Instituição(IES);Sigla;Categoria Administrativa;Código Curso;Nome do Curso;Grau;Modalidade;CC;Ano CC;CPC;Ano CPC;ENADE;Ano ENADE;IDD;Ano IDD;Vagas Autorizadas;Data início funcionamento;Data Ato de Criação;Situação;Código Área Geral CINE;Área Geral CINE;Código Área Específica CINE;Área Específica CINE;Código Área Detalhada CINE;Área Detalhada CINE;Código Rótulo CINE;Rótulo CINE
2870;FACULDADE SERRA DO CARMO;FASEC;Privada com fins lucrativos;1620896;BIOMEDICINA;Bacharelado;Presencial;4;2023;-;;-;;-;;200;Não iniciado;11/12/2023;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
2885;Faculdade Univeritas Universus Veritas de Belo Horizonte;VERITAS BH;Privada sem fins lucrativos;1364699;MEDICINA VETERINÁRIA;Bacharelado;Presencial;3;2023;-;;-;;-;;180;01/02/2019;14/03/2018;Em Extinção;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
2885;Faculdade Univeritas Universus Veritas de Belo Horizonte;VERITAS BH;Privada sem fins lucrativos;1365458;BIOMEDICINA;Bacharelado;Presencial;-;;-;;-;;-;;240;Não iniciado;29/10/2020;Extinto;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
2915;FACULDADE CIDADE DE PATOS DE MINAS;FPM;Privada sem fins lucrativos;87274;BIOMEDICINA;Bacharelado;Presencial;3;2018;3;2023;3;2023;3;2023;100;01/02/2006;18/08/2005;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
2915;FACULDADE CIDADE DE PATOS DE MINAS;FPM;Privada sem fins lucrativos;1205254;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2019;2;2023;2;2023;2;2023;50;02/02/2015;30/05/2014;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
2918;FACULDADE DE ENSINO SUPERIOR DA AMAZÔNIA REUNIDA;FESAR;Privada com fins lucrativos;74462;BIOMEDICINA;Bacharelado;Presencial;4;2016;3;2019;2;2019;2;2019;120;25/10/2004;27/09/2004;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
2918;FACULDADE DE ENSINO SUPERIOR DA AMAZÔNIA REUNIDA;FESAR;Privada com fins lucrativos;1421013;MEDICINA;Bacharelado;Presencial;5;2025;-;;3;2025;-;;120;24/10/2018;01/10/2018;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
2935;Centro Universitário UniFACTHUS;UniFACTHUS;Privada com fins lucrativos;1573065;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2022;-;;-;;-;;100;06/03/2023;30/09/2022;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
2935;FACULDADE DE TALENTOS HUMANOS;FACTHUS;Privada com fins lucrativos;73352;BIOMEDICINA;Bacharelado;Presencial;4;2017;4;2023;3;2023;3;2023;50;20/09/2004;06/08/2004;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
2944;FACULDADE ANHANGUERA DE ITABUNA;-;Privada com fins lucrativos;1300373;BIOMEDICINA;Bacharelado;Presencial;4;2022;4;2023;3;2023;4;2023;120;22/02/2016;30/11/2015;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
2944;FACULDADE ANHANGUERA DE ITABUNA;-;Privada com fins lucrativos;1404745;MEDICINA VETERINÁRIA;Bacharelado;Presencial;2;2024;-;;-;;-;;75;12/08/2019;26/02/2019;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
2950;Centro Universitário FADERGS;FADERGS;Privada com fins lucrativos;1533187;BIOMEDICINA;Bacharelado;A Distância;4;2023;2;2023;2;2023;1;2023;200;10/02/2020;22/11/2019;Em Extinção;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
2950;Centro Universitário FADERGS;FADERGS;Privada com fins lucrativos;1603202;BIOMEDICINA;Bacharelado;Presencial;4;2025;-;;-;;-;;200;18/03/2022;18/03/2022;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
2950;Centro Universitário FADERGS;FADERGS;Privada com fins lucrativos;1702011;BIOMEDICINA;Bacharelado;Semipresencial;-;;-;;-;;-;;200;06/10/2025;25/09/2025;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
2961;Faculdade Estácio do Pantanal;Estácio FAPAN;Privada com fins lucrativos;1322360;BIOMEDICINA;Bacharelado;Presencial;5;2022;3;2023;2;2023;2;2023;100;16/11/2015;30/10/2015;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
2961;Faculdade Estácio do Pantanal;Estácio FAPAN;Privada com fins lucrativos;1457707;MEDICINA;Bacharelado;Presencial;5;2025;-;;1;2025;-;;50;22/09/2020;27/08/2021;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
2973;FACULDADES INTEGRADAS DE PRIMAVERA DO LESTE;FIPL;Privada com fins lucrativos;1300369;BIOMEDICINA;Bacharelado;Presencial;5;2025;2;2023;2;2023;SC;2023;120;08/08/2016;06/04/2016;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
3034;Faculdade Anhanguera de Salvador;FACDELTA;Privada com fins lucrativos;1364374;BIOMEDICINA;Bacharelado;Presencial;-;;-;;-;;-;;100;18/02/2019;15/08/2018;Extinto;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
3034;Faculdade Anhanguera de Salvador;FACDELTA;Privada com fins lucrativos;5000503;BIOMEDICINA;Bacharelado;Presencial;-;;-;;-;;-;;120;01/08/2010;-;Extinto;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
3042;CHRISTUS FACULDADE DO PIAUÍ;CHRISFAPI;Privada com fins lucrativos;1497323;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2021;-;;-;;-;;100;10/12/2021;22/10/2021;Em Atividade;;;;;;;;
3099;FACULDADE INTERNACIONAL DA PARAÍBA;FPB;Privada com fins lucrativos;1300341;BIOMEDICINA;Bacharelado;Presencial;3;2019;3;2023;2;2023;2;2023;180;01/05/2015;30/03/2015;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
3149;FACULDADE PITÁGORAS DE DIVINÓPOLIS - FPD;FPD;Privada com fins lucrativos;1404685;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2023;SC;2023;SC;2023;SC;2023;135;10/09/2019;15/08/2019;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
3149;FACULDADE PITÁGORAS DE DIVINÓPOLIS - FPD;FPD;Privada com fins lucrativos;1453716;BIOMEDICINA;Bacharelado;Presencial;4;2023;3;2023;2;2023;2;2023;90;27/02/2020;04/12/2018;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
3151;UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ;UNOCHAPECÓ;Privada sem fins lucrativos;90847;MEDICINA;Bacharelado;Presencial;4;2024;3;2023;4;2025;3;2023;45;13/02/2006;15/09/2005;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
3151;UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ;UNOCHAPECÓ;Privada sem fins lucrativos;1298970;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2019;3;2023;2;2023;2;2023;100;09/02/2015;26/06/2014;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
3151;UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ;UNOCHAPECÓ;Privada sem fins lucrativos;1596748;BIOMEDICINA;Bacharelado;Presencial;5;2025;-;;-;;-;;150;14/02/2022;11/12/2021;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
3170;FACULDADE ESTÁCIO DE FLORIANÓPOLIS - ESTÁCIO FLORIANÓPOLIS;-;Privada com fins lucrativos;1618037;BIOMEDICINA;Bacharelado;Presencial;4;2023;-;;-;;-;;80;25/02/2025;04/12/2023;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
3172;UNIVERSIDADE DO ESTADO DO AMAZONAS;UEA;Pública Estadual;60660;MEDICINA;Bacharelado;Presencial;-;;3;2023;3;2025;2;2023;130;01/08/2001;27/06/2001;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
3182;Faculdade UNIRB - ARAPIRACA;F. UNIRB;Privada com fins lucrativos;1321667;MEDICINA VETERINÁRIA;Bacharelado;Presencial;3;2023;2;2023;2;2023;2;2023;200;07/10/2016;24/06/2016;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
