Ano;Semestre;Nome Mantenedora;CÛdigo e-MEC da Mantenedora;CNPJ da mantenedora;Nome da IES;CÛdigo e-MEC da IES;OrganizaÁ„o AcadÍmica da IES;UF da IES;MunicÌpio da IES;Nome do Local de oferta;CÛdigo do Local de Oferta;MunicÌpio do Local de Oferta;UF do Local de Oferta;Nome da Microregi„o;CÛdigo da Microregi„o;CÛdigo da Mesorregi„o;Nome da Mesorregi„o;¡rea do conhecimento;Sub·rea do conhecimento;CÛd. Do Grupo de PreferÍncia; Nota de Corte GP ;CÛdigo do Curso;Nome do Curso;Turno;Grau;Conceito;Vagas autorizadas e-mec;Vagas ofertadas FIES;Vagas alÈm da Oferta;Vagas ocupadas; Valor bruto do curso ; 1 Semestre Bruto ; 2 Semestre Bruto ; 3 Semestre Bruto ; 4 Semestre Bruto ; 5 Semestre Bruto ; 6 Semestre Bruto ; 7 Semestre Bruto ; 8 Semestre Bruto ; 9 Semestre Bruto ; 10 Semestre Bruto ; 11 Semestre Bruto ; 12 Semestre Bruto ; Valor do curso para o Fies ; 1 Semestre Fies ; 2 Semestre Fies ; 3 Semestre Fies ; 4 Semestre Fies ; 5 Semestre Fies ; 6 Semestre Fies ; 7 Semestre Fies ; 8 Semestre Fies ; 9 Semestre Fies ; 10 Semestre Fies ; 11 Semestre Fies ; 12 Semestre Fies 
2021;1;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;16452;04310392000146;FACULDADE ANHANGUERA DE JOINVILLE;5668;Faculdade ;SC;Joinville;CAMPUS  - JOINVILLE - GL”RIA;660101;Joinville;SC;Joinville;42008;4202;Norte Catarinense;CURSOS NAO PRIORITARIOS;ADMINISTRA«√O, ADMINISTRA«√O P⁄BLICA, GEST√O, LOGÕSTICA, NEG”CIOS E CURSOS RELACIONADOS;121441; 634,12 ;48553;ADMINISTRA«√O;NOTURNO;Bacharelado;3;315;94;221;0; 70.428,78 ; 7.584,36 ; 7.490,64 ; 9.063,06 ; 8.439,24 ; 9.542,76 ; 9.174,00 ; 10.251,12 ; 8.883,60 ; -   ; -   ; -   ; -   ; 46.720,20 ; 4.854,00 ; 4.794,00 ; 5.642,30 ; 4.741,38 ; 6.752,70 ; 6.442,92 ; 7.253,96 ; 6.238,94 ; -   ; -   ; -   ; -   
2021;1;IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.;545;02608755000107;Centro Universit·rio Est·cio de S„o Paulo;793;Centro Universit·rio;SP;S„o Paulo;INTERLAGOS;25759;S„o Paulo;SP;S„o Paulo;35061;3515;Metropolitana de S„o Paulo;CURSOS DA ¡REA DE LICENCIATURA, PEDAGOGIA E NORMAL SUPERIOR;HIST”RIA (LIC), GEOGRAFIA (LIC), EDUCA«√O FÕSICA (LIC) E CURSOS RELACIONADOS;120958; 574,98 ;111786;EDUCA«√O FÕSICA;NOTURNO;Bacharelado;4;80;32;48;0; 38.393,12 ; 4.799,14 ; 4.799,14 ; 4.799,14 ; 4.799,14 ; 4.799,14 ; 4.799,14 ; 4.799,14 ; 4.799,14 ; -   ; -   ; -   ; -   ; 26.875,20 ; 3.359,40 ; 3.359,40 ; 3.359,40 ; 3.359,40 ; 3.359,40 ; 3.359,40 ; 3.359,40 ; 3.359,40 ; -   ; -   ; -   ; -   
2021;1;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;16452;04310392000146;FACULDADE ANHANGUERA DE JOINVILLE;5668;Faculdade ;SC;Joinville;CAMPUS  - JOINVILLE - GL”RIA;660101;Joinville;SC;Joinville;42008;4202;Norte Catarinense;CURSOS DA ¡REA DE ENGENHARIA E CI NCIA DA COMPUTA«√O;ENGENHARIA DE PRODU«√O, DE MATERIAIS E CURSOS RELACIONADOS;121419; 630,28 ;1069693;ENGENHARIA DE PRODU«√O;NOTURNO;Bacharelado;3;120;36;84;0; 104.688,06 ; 7.490,64 ; 8.428,14 ; 10.712,76 ; 8.791,20 ; 10.914,60 ; 10.296,00 ; 11.518,44 ; 12.203,40 ; 13.277,88 ; 11.055,00 ; -   ; -   ; 70.631,60 ; 4.794,00 ; 5.394,00 ; 6.669,31 ; 4.939,11 ; 7.723,44 ; 7.230,87 ; 8.150,72 ; 8.570,43 ; 9.395,78 ; 7.763,94 ; -   ; -   
2021;1;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;16452;04310392000146;FACULDADE ANHANGUERA DE JOINVILLE;5668;Faculdade ;SC;Joinville;CAMPUS  - JOINVILLE - GL”RIA;660101;Joinville;SC;Joinville;42008;4202;Norte Catarinense;CURSOS DA ¡REA DE ENGENHARIA E CI NCIA DA COMPUTA«√O;ENGENHARIA EL…TRICA, ELETR‘NICA, DA COMPUTA«√O E CURSOS RELACIONADOS;121423;  ;1303513;ENGENHARIA EL…TRICA;NOTURNO;Bacharelado;3;210;63;147;0; 104.239,44 ; 7.490,64 ; 8.428,14 ; 10.712,76 ; 8.791,20 ; 10.914,60 ; 9.781,20 ; 10.944,42 ; 12.203,40 ; 13.277,88 ; 11.695,20 ; -   ; -   ; 70.313,50 ; 4.794,00 ; 5.394,00 ; 6.669,31 ; 4.939,11 ; 7.723,44 ; 6.869,34 ; 7.744,55 ; 8.570,43 ; 9.395,78 ; 8.213,54 ; -   ; -   
2021;1;CENESUP - CENTRO NACIONAL DE ENSINO SUPERIOR LTDA;2405;05474470000100;CENTRO UNIVERSIT¡RIO DO NORTE;1422;Centro Universit·rio;AM;Manaus;UNIDADE CIDADE NOVA;1081198;Manaus;AM;Manaus;13007;1303;Centro Amazonense;CURSOS NAO PRIORITARIOS;DIREITO, COM…RCIO EXTERIOR, BIBLIOTECONOMIA E CURSOS RELACIONADOS;117997; 608,76 ;1385083;DIREITO;VESPERTINO;Bacharelado;4;50;20;0;2; 102.513,00 ; 10.251,30 ; 10.251,30 ; 10.251,30 ; 10.251,30 ; 10.251,30 ; 10.251,30 ; 10.251,30 ; 10.251,30 ; 10.251,30 ; 10.251,30 ; -   ; -   ; 41.005,20 ; 4.100,52 ; 4.100,52 ; 4.100,52 ; 4.100,52 ; 4.100,52 ; 4.100,52 ; 4.100,52 ; 4.100,52 ; 4.100,52 ; 4.100,52 ; -   ; -   
2021;1;IGESP EDUCACAO E SAUDE LTDA;16701;25046750000125;Faculdade de CiÍncias da Sa˙de IGESP;21764;Faculdade ;SP;S„o Paulo;CAMPUS PRINCIPAL;1077883;S„o Paulo;SP;S„o Paulo;35061;3515;Metropolitana de S„o Paulo;CURSOS DA AREA DE SAUDE;ENFERMAGEM, FISIOTERAPIA, FARM¡CIA, NUTRI«√O E CURSOS RELACIONADOS;120921; 559,88 ;1385497;ENFERMAGEM;MATUTINO;Bacharelado;4;45;15;0;1; 58.800,00 ; 5.880,00 ; 5.880,00 ; 5.880,00 ; 5.880,00 ; 5.880,00 ; 5.880,00 ; 5.880,00 ; 5.880,00 ; 5.880,00 ; 5.880,00 ; -   ; -   ; 55.860,00 ; 5.586,00 ; 5.586,00 ; 5.586,00 ; 5.586,00 ; 5.586,00 ; 5.586,00 ; 5.586,00 ; 5.586,00 ; 5.586,00 ; 5.586,00 ; -   ; -   
2021;1;CENTRO EDUCACIONAL MONTES BELOS LTDA;1526;04907186000118;CENTRO UNIVERSIT¡RIO BRASÕLIA DO ESTADO DE GOI¡S ;2336;Centro Universit·rio;GO;S„o LuÌs de Montes Belos;CAMPUS  - S√O LUÕS DE MONTES BELOS - SETOR UNIVERSIT¡RIO;659096;S„o LuÌs de Montes Belos;GO;Anicuns;52009;5203;Centro Goiano;CURSOS DA ¡REA DE ENGENHARIA E CI NCIA DA COMPUTA«√O;ENGENHARIA CIVIL E AMBIENTAL, ARQUITETURA E CURSOS RELACIONADOS;122072; 612,86 ;1261240;ENGENHARIA CIVIL;MATUTINO;Bacharelado;3;50;15;35;0; 104.490,00 ; 10.449,00 ; 10.449,00 ; 10.449,00 ; 10.449,00 ; 10.449,00 ; 10.449,00 ; 10.449,00 ; 10.449,00 ; 10.449,00 ; 10.449,00 ; -   ; -   ; 99.690,00 ; 9.969,00 ; 9.969,00 ; 9.969,00 ; 9.969,00 ; 9.969,00 ; 9.969,00 ; 9.969,00 ; 9.969,00 ; 9.969,00 ; 9.969,00 ; -   ; -   
2021;1;COMPANHIA NILZA CORDEIRO HERDY DE EDUCACAO E CULTURA;326;29403763000165;UNIVERSIDADE DO GRANDE RIO PROFESSOR JOS… DE SOUZA HERDY;472;Universidade;RJ;Duque de Caxias;POLO NA SEDE;657921;Duque de Caxias;RJ;Rio de Janeiro;33018;3306;Metropolitana do Rio de Janeiro;CURSOS DA AREA DE SAUDE;ENFERMAGEM, FISIOTERAPIA, FARM¡CIA, NUTRI«√O E CURSOS RELACIONADOS;120240; 571,78 ;9723;ENFERMAGEM;NOTURNO;Bacharelado;4;240;10;0;1; 83.020,40 ; 8.302,04 ; 8.302,04 ; 8.302,04 ; 8.302,04 ; 8.302,04 ; 8.302,04 ; 8.302,04 ; 8.302,04 ; 8.302,04 ; 8.302,04 ; -   ; -   ; 81.360,00 ; 8.136,00 ; 8.136,00 ; 8.136,00 ; 8.136,00 ; 8.136,00 ; 8.136,00 ; 8.136,00 ; 8.136,00 ; 8.136,00 ; 8.136,00 ; -   ; -   
2021;1;SOEBRAS - SOCIEDADE EDUCATIVA DO BRASIL LTDA;1509;22669915000127;FACULDADE ICESP;4068;Faculdade ;DF;BrasÌlia;UNIDADE ¡GUAS CLARAS;1060898;BrasÌlia;DF;BrasÌlia;53001;5301;Distrito Federal;CURSOS DA AREA DE SAUDE;ENFERMAGEM, FISIOTERAPIA, FARM¡CIA, NUTRI«√O E CURSOS RELACIONADOS;122194; 588,18 ;1304020;FARM¡CIA;NOTURNO;Bacharelado;4;100;40;60;0; 104.757,00 ; 10.475,70 ; 10.475,70 ; 10.475,70 ; 10.475,70 ; 10.475,70 ; 10.475,70 ; 10.475,70 ; 10.475,70 ; 10.475,70 ; 10.475,70 ; -   ; -   ; 104.757,00 ; 10.475,70 ; 10.475,70 ; 10.475,70 ; 10.475,70 ; 10.475,70 ; 10.475,70 ; 10.475,70 ; 10.475,70 ; 10.475,70 ; 10.475,70 ; -   ; -   
2021;1;ASSOCIACAO EDUCACIONAL DE CIENCIAS DA SAUDE - AECISA;2291;05834842000162;FACULDADE PERNAMBUCANA DE SA⁄DE ;3615;Faculdade ;PE;Recife;FACULDADE PERNAMBUCANA DE SA⁄DE;1082268;Recife;PE;Recife;26017;2605;Metropolitana de Recife;CURSOS DA AREA DE SAUDE;ENFERMAGEM, FISIOTERAPIA, FARM¡CIA, NUTRI«√O E CURSOS RELACIONADOS;118975; 565,36 ;106024;FARM¡CIA;MATUTINO;Bacharelado;4;60;15;0;2; 65.210,94 ; 7.245,66 ; 7.245,66 ; 7.245,66 ; 7.245,66 ; 7.245,66 ; 7.245,66 ; 7.245,66 ; 7.245,66 ; 7.245,66 ; -   ; -   ; -   ; 61.298,10 ; 6.810,90 ; 6.810,90 ; 6.810,90 ; 6.810,90 ; 6.810,90 ; 6.810,90 ; 6.810,90 ; 6.810,90 ; 6.810,90 ; -   ; -   ; -   
2021;1;INSTITUICAO EDUCACIONAL MATOGROSSENSE-IEMAT;546;02485183000108;Faculdades Metropolitanas de Cuiab·;21808;Faculdade ;MT;Cuiab·;CAMPUS PRINCIPAL;1077994;Cuiab·;MT;Cuiab·;51017;5104;Centro-Sul Mato-grossense;CURSOS NAO PRIORITARIOS;ADMINISTRA«√O, ADMINISTRA«√O P⁄BLICA, GEST√O, LOGÕSTICA, NEG”CIOS E CURSOS RELACIONADOS;121993;  ;1366579;ADMINISTRA«√O;MATUTINO;Bacharelado;5;100;50;50;0; 71.452,84 ; 7.698,00 ; 7.698,00 ; 8.467,80 ; 8.467,80 ; 9.314,58 ; 9.314,58 ; 10.246,04 ; 10.246,04 ; -   ; -   ; -   ; -   ; 64.486,20 ; 6.947,45 ; 6.947,45 ; 7.642,19 ; 7.642,19 ; 8.406,41 ; 8.406,41 ; 9.247,05 ; 9.247,05 ; -   ; -   ; -   ; -   
2021;1;INSPETORIA SAO JOAO BOSCO;978;33583592000170;Centro Universit·rio Salesiano;1494;Centro Universit·rio;ES;VitÛria;UNIDADE SEDE;658526;VitÛria;ES;VitÛria;32009;3203;Central EspÌrito-santense;CURSOS NAO PRIORITARIOS;DIREITO, COM…RCIO EXTERIOR, BIBLIOTECONOMIA E CURSOS RELACIONADOS;120091; 615,58 ;1190745;DIREITO;NOTURNO;Bacharelado;4;102;9;0;1; 71.580,00 ; 7.158,00 ; 7.158,00 ; 7.158,00 ; 7.158,00 ; 7.158,00 ; 7.158,00 ; 7.158,00 ; 7.158,00 ; 7.158,00 ; 7.158,00 ; -   ; -   ; 71.580,00 ; 7.158,00 ; 7.158,00 ; 7.158,00 ; 7.158,00 ; 7.158,00 ; 7.158,00 ; 7.158,00 ; 7.158,00 ; 7.158,00 ; 7.158,00 ; -   ; -   
2021;1;UNEF UNIDADE DE ENSINO SUPERIOR DE FEIRA DE SANTANA LTDA;1667;03401083000119;FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA;2560;Faculdade ;BA;Feira de Santana;UNIDADE UNEF - LUIS EDUARDO MAGALH√ES;1058601;Feira de Santana;BA;Feira de Santana;29012;2903;Centro Norte Baiano;CURSOS DA ¡REA DE ENGENHARIA E CI NCIA DA COMPUTA«√O;ENGENHARIA MEC¬NICA, AERON¡UTICA, NAVAL E CURSOS RELACIONADOS;119258; 512,42 ;1279507;ENGENHARIA MEC¬NICA;MATUTINO;Bacharelado;3;50;15;35;0; 68.400,00 ; 6.840,00 ; 6.840,00 ; 6.840,00 ; 6.840,00 ; 6.840,00 ; 6.840,00 ; 6.840,00 ; 6.840,00 ; 6.840,00 ; 6.840,00 ; -   ; -   ; 68.395,00 ; 6.839,50 ; 6.839,50 ; 6.839,50 ; 6.839,50 ; 6.839,50 ; 6.839,50 ; 6.839,50 ; 6.839,50 ; 6.839,50 ; 6.839,50 ; -   ; -   
2021;1;INSTITUTO METODISTA IZABELA HENDRIX;154;17217191000140;CENTRO UNIVERSIT¡RIO METODISTA IZABELA HENDRIX;216;Centro Universit·rio;MG;Belo Horizonte;UNIDADE SEDE;138155;Belo Horizonte;MG;Belo Horizonte;31030;3107;Metropolitana de Belo Horizonte;CURSOS NAO PRIORITARIOS;DAN«A, TEOLOGIA, MÕDIAS SOCIAIS, DESIGN DE INTERIORES E CURSOS RELACIONADOS;119737; 531,48 ;97770;DESIGN DE INTERIORES;NOTURNO;TecnolÛgico;4;40;16;0;0; 16.038,58 ; 3.922,84 ; 4.038,58 ; 4.038,58 ; 4.038,58 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 15.798,00 ; 3.864,00 ; 3.978,00 ; 3.978,00 ; 3.978,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2021;1;INSTITUICAO DE ENSINO RIZZO, ALVES DA SILVA & PERES IGNACIO LTDA;16410;12927606000156;Faculdade Van Gogh;20586;Faculdade ;SP;S„o Paulo;FVG;1112308;S„o Paulo;SP;S„o Paulo;35061;3515;Metropolitana de S„o Paulo;CURSOS NAO PRIORITARIOS;ADMINISTRA«√O, ADMINISTRA«√O P⁄BLICA, GEST√O, LOGÕSTICA, NEG”CIOS E CURSOS RELACIONADOS;120998; 553,52 ;1331184;ADMINISTRA«√O;MATUTINO;Bacharelado;4;40;16;0;0; 49.719,76 ; 5.370,00 ; 5.370,00 ; 5.897,87 ; 5.897,87 ; 6.477,63 ; 6.477,63 ; 7.114,38 ; 7.114,38 ; -   ; -   ; -   ; -   ; 47.233,78 ; 5.101,50 ; 5.101,50 ; 5.602,98 ; 5.602,98 ; 6.153,75 ; 6.153,75 ; 6.758,66 ; 6.758,66 ; -   ; -   ; -   ; -   
2021;1;SOCIEDADE PAULISTA DE ENSINO E PESQUISA S/S LTDA;16298;04302037000125;Universidade Universus Veritas Guarulhos;481;Universidade;SP;Guarulhos;GUARULHOS CENTRO;103202;Guarulhos;SP;Guarulhos;35059;3515;Metropolitana de S„o Paulo;CURSOS NAO PRIORITARIOS;ADMINISTRA«√O, ADMINISTRA«√O P⁄BLICA, GEST√O, LOGÕSTICA, NEG”CIOS E CURSOS RELACIONADOS;120999; 453,94 ;110444;GEST√O FINANCEIRA;NOTURNO;TecnolÛgico;5;120;60;0;0; 17.363,28 ; 4.340,82 ; 4.340,82 ; 4.340,82 ; 4.340,82 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6.945,32 ; 1.736,33 ; 1.736,33 ; 1.736,33 ; 1.736,33 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
