NU_ANO;CO_CURSO;ANO_FIM_EM;ANO_IN_GRAD;CO_TURNO_GRADUACAO
2025;1173014;1992;2019;3
2025;74655;1992;2020;3
2025;1258021;1992;2020;3
2025;1487290;1992;2020;3
2025;1136509;1992;2020;3
2025;1390317;1992;2020;3
2025;4503;1992;2020;3
2025;1427370;1992;2020;3
2025;7676;1992;2021;3
2025;1453564;1992;2017;3
2025;140;1993;2020;3
2025;1487491;1993;2022;3
2025;1427419;1993;2021;3
2025;1518495;1993;2020;3
2025;97679;1993;2020;3
2025;1455021;1993;2021;3
2025;1184060;1993;2019;3
2025;1518495;1993;2020;3
2025;1258021;1993;2021;3
2025;1408262;1993;2022;3
2025;1349675;1993;2020;3
2025;1385538;1993;2017;3
2025;5000979;1993;2020;3
2025;1399479;1993;2020;3
2025;1455021;1993;2020;3
2025;1184060;1993;2019;3
2025;19206;1993;2020;4
2025;1390317;1993;2020;3
2025;1192047;1993;2020;3
2025;1029204;1993;2020;3
2025;1292726;1993;2020;3
2025;1399614;1993;2021;4
2025;1258021;1993;2021;3
2025;1399616;1993;2020;3
2025;20360;1993;2020;3
2025;1184325;1993;2020;3
2025;100688;1993;2020;3
2025;1385538;1993;2017;3
2025;14563;1993;2020;3
2025;1399616;1993;2020;3
2025;9805;1993;2020;3
2025;1421100;1993;2020;3
2025;65924;1993;2019;3
2025;1408505;1993;2020;3
2025;4503;1993;2020;3
2025;1321864;1993;2020;3
2025;1518495;1993;2020;3
2025;1108281;1993;2020;3
2025;57402;1993;2020;3
2025;1184325;1993;2020;3
2025;1322329;1994;2020;3
2025;39415;1994;2020;3
2025;1399617;1994;2020;3
2025;1421013;1994;2018;3
2025;72667;1994;2019;3
2025;1453564;1994;2017;3
2025;65114;1994;2022;3
2025;75821;1994;2020;3
2025;5000812;1994;2020;3
2025;1202553;1994;2019;3
2025;1485621;1994;2020;3
2025;72667;1994;2020;3
2025;1458090;1994;2019;3
2025;1439;1994;2020;3
2025;7676;1994;2020;3
2025;64918;1994;2020;3
2025;72767;1994;2020;3
2025;48854;1994;2022;3
2025;21542;1994;2017;3
2025;7837;1994;2014;3
2025;1184047;1994;2020;3
2025;1200712;1994;2020;3
2025;7676;1994;2021;3
