NU_ANO;CO_CURSO;CO_CADERNO;NU_ITEM;NU_ITEM_Z;NU_ITEM_X;DS_VT_GAB_OBJ;DS_VT_ACE_OBJ;DS_VT_ESC_OBJ;TP_PR_GER;PROFICIENCIA;NT_GER;QT_ACERTO_AREA_1;QT_ACERTO_AREA_2;QT_ACERTO_AREA_3;QT_ACERTO_AREA_4;QT_ACERTO_AREA_5;PER_ACERTO_ENARE;CO_RS_I1;CO_RS_I2;CO_RS_I3;CO_RS_I4;CO_RS_I5;CO_RS_I6;CO_RS_I7;CO_RS_I8;CO_RS_I9
2025;1408505;2;90;7;3;6ACCDBACABCAABDBCBDDABDB6AACABBCBCAADBBACBADDACCACABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBC;6100011101018111101101116001011011010001100001111118100160666101000011011100100101100110181161110011;AABDCBACBBDAABDBCCDDBBDBCDBCCBBABCCABADACADABACCACADAAABBCACBDBBBACBDCBABDCADABCCDCAACDCDDCDDBBCACBC;555;-0.34;61.1;12;9;9;13;9;62;C;D;C;A;C;B;D;D;A
2025;1408259;2;90;7;3;6ACCDBACABCAABDBCBDDABDB6AACABBCBCAADBBACBADDACCACABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBC;6100001111118001111111116101101001101001100100110008100061666111001001011101111101001110181061011000;CADDAAACABCAAACBCBDDABDBAABCAABBACADDAAACADDACCCDDBBAAACABBACDCBBADACCDABDCCDBACDDAADCDCDDCCCBDCCBCD;555;-0.34;61.1;8;12;10;13;9;62;C;D;B;B;C;B;D;A;A
2025;7676;2;90;7;3;6ACCDBACABCAABDBCBDDABDB6AACABBCBCAADBBACBADDACCACABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBC;6001001101118111111000116010010001110010101110110118110160666001100001011101000111011101181160111001;ADDCCDACDBCADBDBCBDBBCDBABADBBABACAACABDCDADDBCCDCADADDBCDACBABBACBACCBABDCCBABCBDBBDCBDDCCDDABCCCAC;555;-0.34;61.1;12;11;9;9;11;62;D;D;C;B;C;A;D;B;A
2025;1191415;2;90;7;3;6ACCDBACABCAABDBCBDDABDB6AACABBCBCAADBBACBADDACCACABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBC;6100001100118111110111116001011011100001100011110118101161666011000000111001100101111110081061101001;AADDCCACDCCADBDBCBBDABDBABBCCBBBBCADCDDACCDADACCDCADAACBCBDBCACBDDCABBAABACCDABCDDCBDCDCADCAABBBCCAC;555;-0.34;61.1;11;7;9;11;14;62;C;D;C;B;C;B;D;B;A
2025;1399483;2;90;7;3;6ACCDBACABCAABDBCBDDABDB6AACABBCBCAADBBACBADDACCACABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBC;6100100101118111111000116001011011000001000001110018110161666111000010001101101101111101081161111011;CAADDDCCDBCADBDBCBDBDDDBABBCCBBBBCBCCDAABABBBACCDDABADABDBACCDCBDACADBDCBDDCDCACDDCBDCBDADCDDBBCCBBC;555;-0.34;61.1;11;10;7;12;12;62;C;D;C;A;C;E;D;B;A
2025;1399483;1;90;7;3;ABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBCCACCADDABCABBDAACBCBBACAA6BDBADDBCBDBAACBACABDCCA6;0810116166611011101100011110010100011018116011101110111101101100011101101016100000111108011110000006;BBAACBBBACCDCCABDADCDBCDACDACCCDADACDBDACDDDBCCCBCCDCCADBABAABDADACBBBBBCBAABCD*BBBCBDABBCBACCAADDDC;555;-0.34;61.1;12;9;9;9;13;62;C;B;B;C;A;B;C;C;A
2025;1390317;1;90;7;3;ABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBCCACCADDABCABBDAACBCBBACAA6BDBADDBCBDBAACBACABDCCA6;1810116166611110000110110011001111110008116111100000101000011111001100101016111011111108011010000016;ABAACBCBBBCDCBAABBBCACBDCADBBABDCBDCBAADCDBBBCCCAAADCAABABDCABBDDBCBBABCCBAABDBDDDBCBDDABCBDCCDADDAC;555;-0.34;61.1;11;11;5;10;15;62;C;C;C;B;C;A;D;B;B
2025;2918;2;90;7;3;6ACCDBACABCAABDBCBDDABDB6AACABBCBCAADBBACBADDACCACABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBC;6000000101118101111101116111011111000011100011011018100061666111101110011100101001101100180061010011;CBDDCDCCDBCAABCBCBDDDBDBAAACCBBCBCCBCCBACCBBDAACADACABDCABACCDCBADDDDBDABDCADCAAADCDDCBCDDBACBDCABBC;555;-0.34;61.1;10;13;6;12;11;62;C;C;C;B;C;E;D;E;A
2025;1200578;2;90;7;3;6ACCDBACABCAABDBCBDDABDB6AACABBCBCAADBBACBADDACCACABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBC;6110000101108011111111116001001011001011000011110118100061666011101000111101100101011100181160111010;CACDCABCDBCBADDBCBDDABDBACCCCCBABCBDDCBABACBDACCDCABAADCDBABCCCBACDBBBAABDCCDABCCDABDCBCDBCDBDBCCCBD;555;-0.34;61.1;12;10;7;11;12;62;C;C;C;B;C;B;D;B;A
2025;1184047;2;90;7;3;6ACCDBACABCAABDBCBDDABDB6AACABBCBCAADBBACBADDACCACABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBC;6000010001118110101100116011101111101000110110110108100061666111100000011110101111111110181060011001;CDDDBBCBBBCAABDCCADDDDDBABACADBCBCACDDACCBCDDDCCDCBCAADCABBCCDCBACBBCBBABDADDAACBDCBDCDCDCCBCDCCCCAC;555;-0.34;61.1;11;12;11;8;10;62;E;C;B;D;B;B;D;B;A
