NU_ANO;CO_CURSO;NU_IDADE
2025;19434;23
2025;99476;23
2025;1408507;23
2025;758;23
2025;18472;23
2025;66361;23
2025;107666;23
2025;12970;23
2025;20360;23
2025;1438629;23
2025;5001033;23
2025;7676;23
2025;16236;23
2025;5206;23
2025;1483759;23
2025;5000001;23
2025;19850;23
2025;100956;23
2025;7705;23
2025;5000978;23
2025;1184047;23
2025;59414;23
2025;6496;23
2025;1257524;23
2025;59174;23
2025;5001450;23
2025;9996;23
2025;1184060;23
2025;1183958;23
2025;100956;23
2025;100958;23
2025;8437;23
2025;8698;23
2025;5001167;23
2025;15783;23
2025;10289;23
2025;1257548;23
2025;6711;23
2025;1292726;23
2025;5001314;23
2025;7676;23
2025;5000979;23
2025;1173014;23
2025;60660;23
2025;87941;23
2025;1390309;23
2025;7676;23
2025;72767;23
2025;13601;23
2025;10224;23
2025;1108786;23
2025;1108786;23
2025;86356;23
2025;18447;23
2025;49060;23
2025;1408259;23
2025;38071;23
2025;108884;23
2025;18472;23
2025;1202546;23
2025;1258023;23
2025;74655;23
2025;1272168;23
2025;57852;23
2025;1179501;23
2025;9996;23
2025;72669;23
2025;59414;23
2025;7676;23
2025;1108786;23
2025;66248;23
2025;9996;23
2025;6711;23
2025;5000981;23
2025;18605;23
2025;72767;23
2025;5000979;23
2025;90084;23
2025;1314146;23
2025;1185025;23
2025;98406;23
2025;1258023;23
2025;6496;23
2025;86356;23
2025;1465625;23
2025;72669;23
2025;5000930;23
2025;85652;23
2025;93001;23
2025;85652;23
2025;7676;23
2025;1486822;23
2025;74655;23
2025;72767;23
2025;14975;23
2025;5001183;23
2025;1190667;23
2025;1399480;23
2025;9996;23
2025;1179189;23
2025;868;23
2025;1258023;23
2025;98409;23
2025;1399487;23
2025;48854;23
2025;19850;23
2025;9805;23
2025;48854;23
2025;5345;23
2025;97679;23
2025;60660;23
2025;20058;23
2025;90059;23
2025;18594;23
2025;9772;23
2025;11114;23
2025;1486298;23
2025;9772;23
2025;78256;23
2025;5000930;23
2025;9772;23
2025;1192188;23
2025;1193759;23
2025;5000841;23
2025;1363536;23
2025;108014;23
2025;10224;23
2025;13103;23
2025;1349675;23
2025;7705;23
2025;1399478;23
2025;1408505;23
2025;9772;23
2025;7676;23
2025;1363536;23
2025;1397771;23
2025;5001033;23
2025;1190667;23
2025;1399614;23
2025;1136509;23
2025;7105;23
2025;8698;23
2025;100956;23
2025;14093;23
2025;1180318;23
2025;1185903;23
2025;1399480;23
2025;1477973;23
2025;1108153;23
2025;1102360;23
2025;1455021;23
2025;2392;23
2025;5206;23
2025;5000001;23
2025;20249;23
2025;5000930;23
2025;1214209;23
2025;99476;23
2025;57402;23
2025;57852;23
2025;98506;23
2025;1399481;23
2025;72669;23
2025;72663;23
2025;12970;23
2025;11114;23
2025;1399481;23
2025;5000931;23
2025;11233;23
2025;9326;23
2025;7705;23
2025;107666;23
2025;8437;23
2025;3418;23
2025;5000001;23
2025;1477973;23
2025;1136509;23
2025;8437;23
2025;1448710;23
2025;72669;23
2025;140;23
2025;78256;23
2025;85652;23
2025;1258021;23
2025;14975;23
2025;1059179;23
2025;100688;23
2025;78256;23
2025;1477973;23
2025;74594;23
2025;57402;23
2025;98409;23
2025;74655;23
2025;9772;23
2025;78256;23
2025;1390309;23
2025;72667;23
2025;72663;23
2025;3677;23
2025;1317634;23
2025;84408;23
2025;5345;23
2025;1178672;23
2025;1483773;23
2025;72667;23
2025;1190667;23
2025;1163738;23
2025;8698;23
2025;6496;23
2025;84352;23
2025;7676;23
2025;1050663;23
2025;75821;23
2025;5001466;23
2025;8698;23
2025;7676;23
2025;84408;23
2025;49060;23
2025;1453564;23
2025;19434;23
2025;7105;23
2025;1180318;23
2025;9805;23
2025;1408507;23
2025;1184047;23
2025;1173014;23
2025;1200712;23
2025;87537;23
2025;1399616;23
2025;98506;23
2025;20249;23
2025;868;23
2025;1104264;23
2025;7414;23
2025;5000931;23
2025;79007;23
2025;7414;23
2025;2348;23
2025;9772;23
2025;7414;23
2025;98406;23
2025;78256;23
2025;1349675;23
2025;18447;23
2025;1184047;23
2025;11446;23
2025;74594;23
2025;5000933;23
2025;1455021;23
2025;107666;23
2025;868;23
2025;1421013;23
2025;1029204;23
2025;12813;23
2025;1342536;23
2025;69464;23
2025;14234;23
2025;84352;23
2025;64918;23
2025;1258021;23
2025;79007;23
2025;72675;23
2025;5000930;23
2025;85652;23
2025;758;23
2025;1292713;23
2025;1399481;23
2025;1390309;23
2025;1518;23
2025;12345;23
2025;100688;23
2025;87941;23
2025;98406;23
2025;1408261;23
2025;1321864;23
2025;90084;23
2025;90059;23
2025;59174;23
2025;140;23
2025;12970;23
2025;5001167;23
2025;108014;23
2025;758;23
2025;90084;23
2025;82224;23
2025;14234;23
2025;72669;23
2025;1385538;23
2025;108884;23
2025;5000001;23
2025;20360;23
2025;38071;23
2025;5001300;23
2025;1477973;23
2025;72675;23
2025;18594;23
2025;98506;23
2025;20249;23
2025;13453;23
2025;1108786;23
2025;1408507;23
2025;18472;23
2025;1438629;23
2025;51835;23
2025;1330031;23
2025;1171609;23
2025;1349675;23
2025;1399619;23
2025;1399483;23
2025;1399481;23
2025;1173014;23
2025;74594;23
2025;5000812;23
2025;5001183;23
2025;5001294;23
2025;5000978;23
2025;74655;23
2025;1163738;23
2025;5001033;23
2025;64918;23
2025;1108786;23
2025;85652;23
2025;100958;23
2025;64918;23
2025;1180318;23
2025;74655;23
2025;12970;23
2025;7676;23
2025;1629;23
2025;12569;23
2025;12;23
2025;13601;23
2025;21542;23
2025;7676;23
2025;74655;23
2025;18594;23
2025;5001300;23
2025;38071;23
2025;54490;23
2025;1166567;23
2025;64918;23
2025;5001300;23
2025;9996;23
2025;6496;23
2025;6711;23
2025;90084;23
2025;1108281;23
2025;12970;23
2025;53338;23
2025;13601;23
2025;6496;23
2025;100956;23
2025;6496;23
2025;98506;23
2025;1390309;23
2025;71859;23
2025;1188127;23
2025;1408504;23
2025;8698;23
2025;5000812;23
2025;5000980;23
2025;98506;23
2025;85652;23
2025;72663;23
2025;78256;23
2025;74655;23
2025;1390309;23
2025;93001;23
2025;15475;23
2025;74594;23
2025;1135207;23
2025;15475;23
2025;90059;23
2025;14359;23
2025;15343;23
2025;1257524;23
2025;1179189;23
2025;1455021;23
2025;1397773;23
2025;5000812;23
2025;9988;23
2025;1390311;23
2025;1408508;23
2025;1342537;23
2025;1397773;23
2025;9805;23
2025;53338;23
2025;66361;23
2025;98406;23
2025;1485621;23
2025;1399480;23
2025;1363536;23
2025;1399486;23
2025;9996;23
2025;6496;23
2025;5000979;23
2025;1406536;23
2025;85652;23
2025;1183313;23
2025;1188127;23
2025;7676;23
2025;98409;23
2025;1184047;23
2025;72667;23
2025;1408504;23
2025;140;23
2025;1200578;23
2025;3148;23
2025;74655;23
2025;8437;23
2025;91219;23
2025;108882;23
2025;72667;23
2025;1108281;23
2025;1102360;23
2025;1163738;23
2025;5001183;23
2025;5000931;23
2025;1399618;23
2025;18594;23
2025;1189778;23
2025;1136509;23
2025;1188900;23
2025;7676;23
2025;1408509;23
2025;1879;23
2025;2392;23
2025;87941;23
2025;37304;23
2025;8437;23
2025;1108786;23
2025;5206;23
2025;59414;23
2025;7105;23
2025;11114;23
2025;1457006;23
2025;1029763;23
2025;10224;23
2025;5000930;23
2025;11233;23
2025;9996;23
2025;1168313;23
2025;7676;23
2025;1059179;23
2025;78256;23
2025;140;23
2025;5000980;23
2025;868;23
2025;1163738;23
2025;97679;23
2025;7705;23
2025;9326;23
2025;108882;23
2025;1257562;23
2025;5000979;23
2025;1180318;23
2025;2304;23
2025;5000933;23
2025;1184047;23
2025;12970;23
2025;1184047;23
2025;84352;23
2025;18472;23
2025;12015;23
2025;51835;23
2025;1184047;23
2025;1108281;23
2025;98406;23
2025;72667;23
2025;1419799;23
2025;19850;23
2025;72681;23
2025;7105;23
2025;1408505;23
2025;18472;23
2025;1200578;23
2025;90084;23
2025;5001300;23
2025;5000979;23
2025;93001;23
2025;15475;23
2025;1202553;23
2025;1173014;23
2025;18605;23
2025;1200578;23
2025;51835;23
2025;2304;23
2025;1200712;23
2025;1408504;23
